id,name,average_cost_for_two,price_range,currency,cuisines,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,user_rating
18580134,Lazeez Khaana,900,2,Rs.,"Chinese, Biryani, North Indian, Mughlai, Seafood","501, 3-6-108/1, Sanatana Eternal Complex, Himayath Nagar, Hyderabad",Himayath Nagar,Hyderabad,6,17.405022865699998,78.48002359270001,,1,"Himayath Nagar, Hyderabad",3.9
18643213,Salwa Multicuisine Restaurant,700,2,Rs.,"Mughlai, North Indian","10-5-2/7/G/4, Road 1, Opposite Banjara Function Hall, Banjara Hills, Hyderabad",Banjara Hills,Hyderabad,6,17.4070425424,78.4517001361,500034,1,"Banjara Hills, Hyderabad",3.6
19222731,Sirisha And Ramanis Kitchen,450,1,Rs.,"Andhra, South Indian, Biryani, Chinese","8-1-297/SN/79, Sakkubai Nagar, Vinobha Nagar, Shaikpet, Manikonda, Hyderabad",Manikonda,Hyderabad,6,17.406399,78.39341,,1,"Manikonda, Hyderabad",3.9
92524,Sri Sai Darshini Tiffins & Meals,200,1,Rs.,South Indian,"Ushodaya Towers, Shapur Nagar, Jeedimetla Road, Jeedimetla, Hyderabad",Jeedimetla,Hyderabad,6,17.5111338985,78.4482156113,0,1,"Jeedimetla, Hyderabad",4.0
19150878,Central Biryani Pointe,800,2,Rs.,"Mughlai, Biryani","Plot 135, Warangal Highway, Opposite HP Petrol Pump, Narapally, Hyderabad",Narapally,Hyderabad,6,17.419804,78.63498,500088,1,"Narapally, Hyderabad",3.6
19279111,Maa Vaishnavi Devi Tiffin And Meal's,100,1,Rs.,South Indian,"23-6-848/1, Shali Banda, Beside Sudha Cinepolis, Hari Bowlipura, Charminar, Hyderabad",Charminar,Hyderabad,6,17.350876790999997,78.475295864,,1,"Charminar, Hyderabad",3.6
18628052,New Udupi Hotel,200,1,Rs.,South Indian,"8-263, Beside Andhra Bank, Indrareddy Allwyn Colony, Miyapur, Hyderabad",Miyapur,Hyderabad,6,17.4908568425,78.3534404263,,1,"Miyapur, Hyderabad",3.8
18763941,Al-Baik Shawarma,200,1,Rs.,Lebanese,"Malakpet Main Road, Malakpet, Hyderabad",Malakpet,Hyderabad,6,17.3763597997,78.4963160008,,1,"Malakpet, Hyderabad",3.9
18392030,Keshav Reddy Sweets,700,2,Rs.,"Mithai, Desserts, Street Food, Fast Food, Bakery","Pavani Estate, Road 2, Banjara Hills, Hyderabad",Banjara Hills,Hyderabad,6,17.425965889100002,78.4371739626,,1,"Banjara Hills, Hyderabad",3.9
18607685,Farzi Cafe,1800,3,Rs.,Modern Indian,"Door.No:8-2-296/82/A/1200, Plot.No:1200, Road.no:59, Jubileehills,Hyderabad",Jubilee Hills,Hyderabad,6,17.428555,78.409032,500033,1,"Jubilee Hills, Hyderabad",4.7
19158986,New My Friends Restaurant,300,1,Rs.,"Biryani, Chinese","Plot 1059, Suraram X Roads, Quthbullapur, Suraram, Hyderabad",Suraram,Hyderabad,6,17.5415346872,78.4332522377,500055,1,"Suraram, Hyderabad",3.5
97027,Chicken Shawarma Hub,250,1,Rs.,"Rolls, Lebanese","Near Jubilee Hills Check Post, Jubilee Hills, Hyderabad",Jubilee Hills,Hyderabad,6,17.4260999223,78.41469068079999,,1,"Jubilee Hills, Hyderabad",4.1
18636404,Naina Tiffins & Meals,200,1,Rs.,"North Indian, South Indian, Chinese","Opposite SLN Terminus, Gachibowli, Hyderabad",Gachibowli,Hyderabad,6,17.452324079500002,78.3638933301,,1,"Gachibowli, Hyderabad",3.5
91611,Sri Raghavendra Tiffins And Meals,200,1,Rs.,"South Indian, Street Food, Beverages","Red Cross Society, Gaddi Annaram, Malakpet, Hyderabad",Malakpet,Hyderabad,6,17.3641776133,78.5215418413,0,1,"Malakpet, Hyderabad",3.8
93839,Taiba Bakery & Cafe,400,1,Rs.,"Bakery, Fast Food, South Indian, Beverages","289/24, Shanti Nagar Colony, Masab Tank, Hyderabad",Masab Tank,Hyderabad,6,17.402574781600002,78.4568556771,500028,1,"Masab Tank, Hyderabad",3.8
18517775,Aromas@11SIX,1200,3,Rs.,"North Indian, Chinese, Mughlai, Biryani","Plot 116, Chitrapuri Colony, Khajaguda, Gachibowli, Hyderabad",Gachibowli,Hyderabad,6,17.4189365232,78.3780064434,500032,1,"Gachibowli, Hyderabad",3.5
18624752,Asoka Restaurant,450,1,Rs.,Biryani,"Ahmed Commercial Complex, 1st Floor, Opposite R S Brothers, Ameerpet, Hyderabad",Ameerpet,Hyderabad,6,17.4318792527,78.4468627721,500072,1,"Ameerpet, Hyderabad",4.0
18472048,Kings Mezbaan Restaurant,550,2,Rs.,"Mughlai, North Indian, Chinese, Biryani","Near Akbar Functuon Hall, Kishan Bagh Line, Attapur, Hyderabad",Attapur,Hyderabad,6,17.3579238125,78.4421337023,,1,"Attapur, Hyderabad",3.5
18733999,Mashallah Shawarma,250,1,Rs.,"Lebanese, Rolls","Near Officers Mess, Malakpet, Hyderabad",Malakpet,Hyderabad,6,17.3691138147,78.5015617311,,1,"Malakpet, Hyderabad",3.6
19313365,Mr Burger,250,1,Rs.,"Burger, Fast Food, Beverages","Ground Floor, Pillar 140, Opposite Bantia Furniture, KK Enclave, Attapur, Hyderabad",Attapur,Hyderabad,6,17.3651689601,78.4276175871,500048,1,"Attapur, Hyderabad",3.7
19143807,The Chocolate Room Cafe & Lounge,1000,3,Rs.,"Cafe, Italian, Mexican","Shop 8, Ground Floor, Business Square, Jubilee Enclave, Kondapur Road, Hitech City, Hyderabad",Hitech City,Hyderabad,6,17.456746,78.376117,500081,1,"Hitech City, Hyderabad",3.7
18519096,Bench Cafe & Restaurant,500,2,Rs.,"Cafe, Chinese, Desserts","4-1-969/7, Ahuja Estate, Abids Road, Abids, Hyderabad",Abids,Hyderabad,6,17.3911436633,78.4765028581,,1,"Abids, Hyderabad",4.1
19027416,The Chocolate Room,600,2,Rs.,"Cafe, Desserts","Ground Floor, Grand Vista Towers, Raj Bhavan Road, Somajiguda, Hyderabad",Somajiguda,Hyderabad,6,17.4231025444,78.4602295607,,1,"Somajiguda, Hyderabad",3.8
18527799,Chai Pani,400,1,Rs.,"Cafe, Tea, Continental, Beverages","Plot No. 1293/A, Road No. 63, Jubilee Hills, Hyderabad",Jubilee Hills,Hyderabad,6,17.427772610599998,78.4129137173,500033,1,"Jubilee Hills, Hyderabad",3.9
18772376,Ahoy Resto,900,2,Rs.,Continental,"Sy 35, Gundlapochampally Road, Under Kompally Flyover, Kompally, Hyderabad",Kompally,Hyderabad,6,17.5540777474,78.4930896387,,1,"Kompally, Hyderabad",3.8
97305,The Gallery Cafe,800,2,Rs.,"Cafe, Continental","8-2-585/1/B, Road 10, Banjara Hills, Hyderabad",Banjara Hills,Hyderabad,6,17.4160778669,78.4432920814,500034,1,"Banjara Hills, Hyderabad",3.9
19195702,Conçu,1000,3,Rs.,"Cafe, Bakery, Italian, Desserts","8-2-293/82/F/A/31, Plot 73, Road 82, Film Nagar, Jubliee Hills, Hyderabad",Film Nagar,Hyderabad,6,17.416861634500002,78.4108262882,500096,1,"Film Nagar, Hyderabad",4.0
18307251,Churrolto,1200,3,Rs.,"Desserts, Cafe, Italian","Film Nagar Main Road, Opposite Indian Oil, Film Nagar, Hyderabad",Film Nagar,Hyderabad,6,17.416618187,78.4106921777,,1,"Film Nagar, Hyderabad",4.9
19031237,Karachi Bakery And Cafe,500,2,Rs.,"Cafe, Fast Food, Bakery","Plot 27, Ground Floor, Sri Ram Enclave, P&T Colony, Shamirpet Road, Janakapuri, Vikrampuri Colony, Karkhana, Secunderabad",Karkhana,Secunderabad,6,17.4567372102,78.4991232678,,1,"Karkhana, Secunderabad",4.0
19122326,Vilasa Grand,400,1,Rs.,"North Indian, Chinese","Savera Wines Lane, Near Metro Station Exit D, L B Nagar, Hyderabad",L B Nagar,Hyderabad,6,17.34943,78.548602,500074,1,"L B Nagar, Hyderabad",3.4
18580134,Lazeez Khaana,900,2,Rs.,"Chinese, Biryani, North Indian, Mughlai, Seafood","501, 3-6-108/1, Sanatana Eternal Complex, Himayath Nagar, Hyderabad",Himayath Nagar,Hyderabad,6,17.405022865699998,78.48002359270001,,1,"Himayath Nagar, Hyderabad",3.9
18643213,Salwa Multicuisine Restaurant,700,2,Rs.,"Mughlai, North Indian","10-5-2/7/G/4, Road 1, Opposite Banjara Function Hall, Banjara Hills, Hyderabad",Banjara Hills,Hyderabad,6,17.4070425424,78.4517001361,500034,1,"Banjara Hills, Hyderabad",3.6
19222731,Sirisha And Ramanis Kitchen,450,1,Rs.,"Andhra, South Indian, Biryani, Chinese","8-1-297/SN/79, Sakkubai Nagar, Vinobha Nagar, Shaikpet, Manikonda, Hyderabad",Manikonda,Hyderabad,6,17.406399,78.39341,,1,"Manikonda, Hyderabad",3.9
92524,Sri Sai Darshini Tiffins & Meals,200,1,Rs.,South Indian,"Ushodaya Towers, Shapur Nagar, Jeedimetla Road, Jeedimetla, Hyderabad",Jeedimetla,Hyderabad,6,17.5111338985,78.4482156113,0,1,"Jeedimetla, Hyderabad",4.0
19150878,Central Biryani Pointe,800,2,Rs.,"Mughlai, Biryani","Plot 135, Warangal Highway, Opposite HP Petrol Pump, Narapally, Hyderabad",Narapally,Hyderabad,6,17.419804,78.63498,500088,1,"Narapally, Hyderabad",3.6
19279111,Maa Vaishnavi Devi Tiffin And Meal's,100,1,Rs.,South Indian,"23-6-848/1, Shali Banda, Beside Sudha Cinepolis, Hari Bowlipura, Charminar, Hyderabad",Charminar,Hyderabad,6,17.350876790999997,78.475295864,,1,"Charminar, Hyderabad",3.6
18628052,New Udupi Hotel,200,1,Rs.,South Indian,"8-263, Beside Andhra Bank, Indrareddy Allwyn Colony, Miyapur, Hyderabad",Miyapur,Hyderabad,6,17.4908568425,78.3534404263,,1,"Miyapur, Hyderabad",3.8
18763941,Al-Baik Shawarma,200,1,Rs.,Lebanese,"Malakpet Main Road, Malakpet, Hyderabad",Malakpet,Hyderabad,6,17.3763597997,78.4963160008,,1,"Malakpet, Hyderabad",3.9
18392030,Keshav Reddy Sweets,700,2,Rs.,"Mithai, Desserts, Street Food, Fast Food, Bakery","Pavani Estate, Road 2, Banjara Hills, Hyderabad",Banjara Hills,Hyderabad,6,17.425965889100002,78.4371739626,,1,"Banjara Hills, Hyderabad",3.9
18607685,Farzi Cafe,1800,3,Rs.,Modern Indian,"Door.No:8-2-296/82/A/1200, Plot.No:1200, Road.no:59, Jubileehills,Hyderabad",Jubilee Hills,Hyderabad,6,17.428555,78.409032,500033,1,"Jubilee Hills, Hyderabad",4.7
19158986,New My Friends Restaurant,300,1,Rs.,"Biryani, Chinese","Plot 1059, Suraram X Roads, Quthbullapur, Suraram, Hyderabad",Suraram,Hyderabad,6,17.5415346872,78.4332522377,500055,1,"Suraram, Hyderabad",3.5
97027,Chicken Shawarma Hub,250,1,Rs.,"Rolls, Lebanese","Near Jubilee Hills Check Post, Jubilee Hills, Hyderabad",Jubilee Hills,Hyderabad,6,17.4260999223,78.41469068079999,,1,"Jubilee Hills, Hyderabad",4.1
18636404,Naina Tiffins & Meals,200,1,Rs.,"North Indian, South Indian, Chinese","Opposite SLN Terminus, Gachibowli, Hyderabad",Gachibowli,Hyderabad,6,17.452324079500002,78.3638933301,,1,"Gachibowli, Hyderabad",3.5
91611,Sri Raghavendra Tiffins And Meals,200,1,Rs.,"South Indian, Street Food, Beverages","Red Cross Society, Gaddi Annaram, Malakpet, Hyderabad",Malakpet,Hyderabad,6,17.3641776133,78.5215418413,0,1,"Malakpet, Hyderabad",3.8
93839,Taiba Bakery & Cafe,400,1,Rs.,"Bakery, Fast Food, South Indian, Beverages","289/24, Shanti Nagar Colony, Masab Tank, Hyderabad",Masab Tank,Hyderabad,6,17.402574781600002,78.4568556771,500028,1,"Masab Tank, Hyderabad",3.8
